date,soil_moisture,soil_moisture_class
2024-01-05,0.3944583333333333,Medium
2024-01-06,0.3903749999999999,Medium
2024-01-07,0.3895,Medium
2024-01-08,0.3797916666666667,Medium
2024-01-09,0.3746666666666667,Medium
2024-01-10,0.3712916666666666,Medium
2024-01-11,0.3685833333333333,Medium
2024-01-12,0.366125,Medium
2024-01-13,0.3640833333333333,Medium
2024-01-14,0.3622083333333333,Medium
2024-01-15,0.3605416666666667,Low
2024-01-16,0.3587499999999999,Low
2024-01-17,0.394875,Medium
2024-01-18,0.4201666666666666,High
2024-01-19,0.400375,High
2024-01-20,0.391,Medium
2024-01-21,0.3854583333333333,Medium
2024-01-22,0.3971666666666666,High
2024-01-23,0.4205833333333333,High
2024-01-24,0.4133333333333333,High
2024-01-25,0.4042916666666666,High
2024-01-26,0.4041666666666666,High
2024-01-27,0.3989583333333333,High
2024-01-28,0.3857916666666667,Medium
2024-01-29,0.3811666666666666,Medium
2024-01-30,0.377875,Medium
2024-01-31,0.3747083333333333,Medium
2024-02-01,0.4045,High
2024-02-02,0.3982083333333333,High
2024-02-03,0.3869583333333333,Medium
2024-02-04,0.3902916666666667,Medium
2024-02-05,0.3840833333333333,Medium
2024-02-06,0.380875,Medium
2024-02-07,0.3948333333333333,Medium
2024-02-08,0.4233333333333333,High
2024-02-09,0.4200833333333333,High
2024-02-10,0.409875,High
2024-02-11,0.4220833333333333,High
2024-02-12,0.4064166666666666,High
2024-02-13,0.3959583333333333,Medium
2024-02-14,0.3865,Medium
2024-02-15,0.3811666666666666,Medium
2024-02-16,0.3827083333333334,Medium
2024-02-17,0.3994583333333333,High
2024-02-18,0.3853333333333333,Medium
2024-02-19,0.4217083333333333,High
2024-02-20,0.4142083333333333,High
2024-02-21,0.3948333333333333,Medium
2024-02-22,0.4227083333333333,High
2024-02-23,0.4137916666666667,High
2024-02-24,0.3965,High
2024-02-25,0.3910416666666667,Medium
2024-02-26,0.3843749999999999,Medium
2024-02-27,0.3820416666666666,Medium
2024-02-28,0.373875,Medium
2024-02-29,0.3632083333333333,Medium
2024-03-01,0.3723333333333333,Medium
2024-03-02,0.3705416666666667,Medium
2024-03-03,0.3619999999999999,Low
2024-03-04,0.3555833333333333,Low
2024-03-05,0.3668333333333333,Medium
2024-03-06,0.4007083333333333,High
2024-03-07,0.3985,High
2024-03-08,0.389,Medium
2024-03-09,0.379,Medium
2024-03-10,0.37875,Medium
2024-03-11,0.401875,High
2024-03-12,0.398125,High
2024-03-13,0.4184583333333333,High
2024-03-14,0.3967083333333334,High
2024-03-15,0.395625,Medium
2024-03-16,0.4139166666666666,High
2024-03-17,0.39975,High
2024-03-18,0.4017916666666667,High
2024-03-19,0.3946666666666667,Medium
2024-03-20,0.3799583333333333,Medium
2024-03-21,0.377,Medium
2024-03-22,0.3687499999999999,Medium
2024-03-23,0.4107083333333333,High
2024-03-24,0.4154583333333333,High
2024-03-25,0.4042916666666666,High
2024-03-26,0.3875833333333333,Medium
2024-03-27,0.3879166666666667,Medium
2024-03-28,0.39525,Medium
2024-03-29,0.3960833333333333,High
2024-03-30,0.3911666666666666,Medium
2024-03-31,0.3925416666666667,Medium
2024-04-01,0.4033333333333333,High
2024-04-02,0.3964583333333333,High
2024-04-03,0.401125,High
2024-04-04,0.4194583333333333,High
