STATIONS_ID;MESS_DATUM;  QN;RWS_DAU_10;RWS_10;RWS_IND_10;eor
       5992;202307292230;    3;-999;   0.00;-999;eor
       5992;202307292240;    3;-999;   0.00;-999;eor
       5992;202307292250;    3;-999;   0.00;-999;eor
       5992;202307292300;    3;-999;   0.00;-999;eor
       5992;202307292310;    3;-999;   3.74;-999;eor
       5992;202307292320;    3;-999;   9.49;-999;eor
       5992;202307292330;    3;-999;   2.51;-999;eor
       5992;202307292340;    3;-999;   1.21;-999;eor
       5992;202307292350;    3;-999;   1.77;-999;eor
       5992;202307300000;    3;-999;   0.33;-999;eor
       5992;202307300010;    3;-999;   0.34;-999;eor
       5992;202307300020;    3;-999;   0.16;-999;eor
       5992;202307300030;    3;-999;   0.00;-999;eor
       5992;202307300040;    3;-999;   0.00;-999;eor
       5992;202307300050;    3;-999;   0.00;-999;eor
       5992;202307300100;    3;-999;   0.00;-999;eor
       5992;202307300110;    3;-999;   0.00;-999;eor
       5992;202307300120;    3;-999;   0.00;-999;eor
       5992;202307300130;    3;-999;   0.00;-999;eor
       5992;202307300140;    3;-999;   0.00;-999;eor
       5992;202307300150;    3;-999;   0.00;-999;eor
       5992;202307300200;    3;-999;   0.00;-999;eor
       5992;202307300210;    3;-999;   0.00;-999;eor
       5992;202307300220;    3;-999;   0.00;-999;eor
       5992;202307300230;    3;-999;   0.00;-999;eor
       5992;202307300240;    3;-999;   0.00;-999;eor
       5992;202307300250;    3;-999;   0.00;-999;eor
       5992;202307300300;    3;-999;   0.00;-999;eor
       5992;202307300310;    3;-999;   0.00;-999;eor
       5992;202307300320;    3;-999;   0.00;-999;eor
       5992;202307300330;    3;-999;   0.00;-999;eor
       5992;202307300340;    3;-999;   0.00;-999;eor
       5992;202307300350;    3;-999;   0.00;-999;eor
       5992;202307300400;    3;-999;   0.00;-999;eor
       5992;202307300410;    3;-999;   0.00;-999;eor
       5992;202307300420;    3;-999;   0.00;-999;eor
       5992;202307300430;    3;-999;   0.00;-999;eor
       5992;202307300440;    3;-999;   0.00;-999;eor
       5992;202307300450;    3;-999;   0.00;-999;eor
       5992;202307300500;    3;-999;   0.17;-999;eor
       5992;202307300510;    3;-999;   0.00;-999;eor
       5992;202307300520;    3;-999;   0.17;-999;eor
       5992;202307300530;    3;-999;   0.00;-999;eor
       5992;202307300540;    3;-999;   0.00;-999;eor
       5992;202307300550;    3;-999;   0.00;-999;eor
       5992;202307300600;    3;-999;   0.00;-999;eor
       5992;202307300610;    3;-999;   0.17;-999;eor
       5992;202307300620;    3;-999;   0.00;-999;eor
       5992;202307300630;    3;-999;   0.00;-999;eor
       5992;202307300640;    3;-999;   0.00;-999;eor
       5992;202307300650;    3;-999;   0.16;-999;eor
       5992;202307300700;    3;-999;   0.00;-999;eor
       5992;202307300710;    3;-999;   0.00;-999;eor
       5992;202307300720;    3;-999;   0.00;-999;eor
       5992;202307300730;    3;-999;   0.00;-999;eor
       5992;202307300740;    3;-999;   0.00;-999;eor
       5992;202307300750;    3;-999;   0.00;-999;eor
       5992;202307300800;    3;-999;   0.36;-999;eor
       5992;202307300810;    3;-999;   0.21;-999;eor
       5992;202307300820;    3;-999;   0.85;-999;eor
       5992;202307300830;    3;-999;   0.50;-999;eor
       5992;202307300840;    3;-999;   0.00;-999;eor
       5992;202307300850;    3;-999;   0.00;-999;eor
       5992;202307300900;    3;-999;   0.00;-999;eor
       5992;202307300910;    3;-999;   0.00;-999;eor
       5992;202307300920;    3;-999;   0.00;-999;eor
       5992;202307300930;    3;-999;   0.00;-999;eor
       5992;202307300940;    3;-999;   0.00;-999;eor
       5992;202307300950;    3;-999;   0.00;-999;eor
       5992;202307301000;    3;-999;   0.00;-999;eor
       5992;202307301010;    3;-999;   0.00;-999;eor
       5992;202307301020;    3;-999;   0.00;-999;eor
       5992;202307301030;    3;-999;   0.00;-999;eor
       5992;202307301040;    3;-999;   0.00;-999;eor
       5992;202307301050;    3;-999;   0.00;-999;eor
       5992;202307301100;    3;-999;   0.00;-999;eor
       5992;202307301110;    3;-999;   0.00;-999;eor
       5992;202307301120;    3;-999;   0.00;-999;eor
       5992;202307301130;    3;-999;   0.00;-999;eor
       5992;202307301140;    3;-999;   0.00;-999;eor
       5992;202307301150;    3;-999;   0.00;-999;eor
       5992;202307301200;    3;-999;   0.00;-999;eor
       5992;202307301210;    3;-999;   0.00;-999;eor
       5992;202307301220;    3;-999;   0.00;-999;eor
       5992;202307301230;    3;-999;   0.00;-999;eor
       5992;202307301240;    3;-999;   0.00;-999;eor
       5992;202307301250;    3;-999;   0.00;-999;eor
       5992;202307301300;    3;-999;   0.00;-999;eor
       5992;202307301310;    3;-999;   0.00;-999;eor
       5992;202307301320;    3;-999;   0.00;-999;eor
       5992;202307301330;    3;-999;   0.00;-999;eor
       5992;202307301340;    3;-999;   0.00;-999;eor
       5992;202307301350;    3;-999;   0.00;-999;eor
       5992;202307301400;    3;-999;   0.00;-999;eor
       5992;202307301410;    3;-999;   0.00;-999;eor
       5992;202307301420;    3;-999;   0.00;-999;eor
       5992;202307301430;    3;-999;   0.00;-999;eor
       5992;202307301440;    3;-999;   0.00;-999;eor
       5992;202307301450;    3;-999;   0.00;-999;eor
       5992;202307301500;    3;-999;   0.00;-999;eor
       5992;202307301510;    3;-999;   0.00;-999;eor
       5992;202307301520;    3;-999;   0.00;-999;eor
       5992;202307301530;    3;-999;   0.00;-999;eor
       5992;202307301540;    3;-999;   0.00;-999;eor
       5992;202307301550;    3;-999;   0.00;-999;eor
       5992;202307301600;    3;-999;   0.00;-999;eor
       5992;202307301610;    3;-999;   0.00;-999;eor
       5992;202307301620;    3;-999;   0.00;-999;eor
       5992;202307301630;    3;-999;   0.00;-999;eor
       5992;202307301640;    3;-999;   0.00;-999;eor
       5992;202307301650;    3;-999;   0.00;-999;eor
       5992;202307301700;    3;-999;   0.00;-999;eor
       5992;202307301710;    3;-999;   0.00;-999;eor
       5992;202307301720;    3;-999;   0.00;-999;eor
       5992;202307301730;    3;-999;   0.00;-999;eor
