LAND_USE,SOIL_TYPE,PROXIMITY_TO_FOREST,PROXIMITY_TO_RIVER,SLOPE,ELEVATION,STREET_DENSITY,Flood
Greenland,T,High,Medium,Low,Low,Medium,0.7668441373749999
Greenland,T,High,Medium,Low,Low,Medium,0.7668441373749999
Greenland,T,High,Medium,Low,Low,Medium,0.7668441373749999
Greenland,T,High,Medium,Low,Low,Medium,0.7668441373749999
Greenland,T,High,Medium,Low,Low,Medium,0.7668441373749999
Greenland,T,High,Medium,Low,Low,Medium,0.7668441373749999
Greenland,T,High,Medium,Low,Low,Medium,0.7668441373749999
Greenland,T,High,Medium,Low,Low,Medium,0.7668441373749999
Greenland,T,High,Medium,Low,Low,Medium,0.7668441373749999
Greenland,T,High,Medium,Low,Low,Medium,0.7668441373749999
Greenland,T,High,Medium,Low,Low,Medium,0.7668441373749999
Greenland,T,High,Medium,Low,Low,Medium,0.7668441373749999
Greenland,T,High,Medium,Low,Low,Medium,0.7668441373749999
Greenland,T,High,Medium,Low,Low,Medium,0.7668441373749999
Greenland,T,High,Low,Medium,Low,High,0.7655737663875001
Farmland,L,High,High,Low,Low,High,0.7640149258749999
Farmland,L,High,High,Low,Low,High,0.7640149258749999
Greenland,T,Medium,High,Low,Low,High,0.7639292275
Greenland,L,High,High,Low,Low,High,0.758853541
Greenland,L,High,High,Low,Low,High,0.758853541
Greenland,L,High,High,Low,Low,High,0.758853541
Greenland,L,High,High,Low,Low,High,0.758853541
Greenland,L,High,High,Low,Low,High,0.758853541
Greenland,L,High,High,Low,Low,High,0.758853541
Greenland,L,High,High,Low,Low,High,0.758853541
Greenland,L,High,High,Low,Low,High,0.758853541
Greenland,L,High,High,Low,Low,High,0.758853541
Greenland,L,High,High,Low,Low,High,0.758853541
Greenland,L,High,High,Low,Low,High,0.758853541
Greenland,L,High,High,Low,Low,High,0.758853541
Greenland,L,High,High,Low,Low,High,0.758853541
Greenland,L,High,High,Low,Low,High,0.758853541
Greenland,L,High,High,Low,Low,High,0.758853541
Greenland,L,High,High,Low,Low,High,0.758853541
Greenland,L,High,High,Low,Low,High,0.758853541
Greenland,L,High,High,Low,Low,High,0.758853541
Greenland,L,High,High,Low,Low,High,0.758853541
Greenland,L,High,High,Low,Low,High,0.758853541
Greenland,L,High,High,Low,Low,High,0.758853541
Greenland,L,High,High,Low,Low,High,0.758853541
Greenland,L,High,High,Low,Low,High,0.758853541
Greenland,L,High,Medium,Low,Low,Medium,0.7535083825
Greenland,L,High,Low,Medium,Low,High,0.75345237634375
Greenland,LT,High,High,Low,Low,High,0.7485307712500001
Greenland,T,High,High,Low,Low,Medium,0.74643976825
Greenland,T,High,High,Low,Low,Medium,0.74643976825
Greenland,T,High,High,Low,Low,Medium,0.74643976825
Greenland,T,High,High,Low,Low,Medium,0.74643976825
Greenland,T,High,High,Low,Low,Medium,0.74643976825
Greenland,T,High,High,Low,Low,Medium,0.74643976825
Greenland,T,High,High,Low,Low,Medium,0.74643976825
Greenland,T,High,High,Low,Low,Medium,0.74643976825
Greenland,T,High,Medium,Medium,Low,High,0.7159956313125
Greenland,T,High,Medium,Medium,Low,High,0.7159956313125
Greenland,T,High,Medium,Medium,Low,High,0.7159956313125
Greenland,T,High,Medium,Medium,Low,High,0.7159956313125
Greenland,T,High,Medium,Medium,Low,High,0.7159956313125
Greenland,T,High,Medium,Medium,Low,High,0.7159956313125
Greenland,T,High,Medium,Medium,Low,High,0.7159956313125
Greenland,T,High,Medium,Medium,Low,High,0.7159956313125
Farmland,T,High,Medium,Medium,Low,High,0.7159956313125
Greenland,T,High,Medium,Medium,Low,High,0.7159956313125
Greenland,T,High,Medium,Medium,Low,High,0.7159956313125
Greenland,T,High,High,Low,Low,Low,0.71589151276
Greenland,T,High,High,Low,Low,Low,0.71589151276
Greenland,T,High,High,Low,Low,Low,0.71589151276
Greenland,T,High,High,Low,Low,Low,0.71589151276
Greenland,T,High,High,Low,Low,Low,0.71589151276
Greenland,T,High,High,Low,Low,Low,0.71589151276
Greenland,T,High,High,Low,Low,Low,0.71589151276
Greenland,T,High,High,Low,Low,Low,0.71589151276
Greenland,T,High,High,Low,Low,Low,0.71589151276
Farmland,LT,High,Medium,Medium,Low,High,0.7124996315625
Greenland,L,High,Medium,Medium,Low,High,0.70303129890625
Greenland,L,High,Medium,Medium,Low,High,0.70303129890625
Greenland,L,High,Medium,Medium,Low,High,0.70303129890625
Greenland,L,High,Medium,Medium,Low,High,0.70303129890625
Greenland,LT,High,Medium,Medium,Low,High,0.69356296625
Greenland,T,High,Low,High,Low,High,0.68426511631875
Greenland,T,High,Low,High,Low,High,0.68426511631875
Greenland,T,High,Low,High,Low,High,0.68426511631875
Greenland,T,High,High,Medium,Low,High,0.6838616548750001
Greenland,T,High,High,Medium,Low,High,0.6838616548750001
Greenland,T,High,High,Medium,Low,High,0.6838616548750001
Greenland,T,High,High,Medium,Low,High,0.6838616548750001
Greenland,T,High,High,Medium,Low,High,0.6838616548750001
Greenland,T,High,High,Medium,Low,High,0.6838616548750001
Farmland,T,High,High,Medium,Low,High,0.6838616548750001
Greenland,T,High,High,Medium,Low,High,0.6838616548750001
Greenland,T,High,High,Medium,Low,High,0.6838616548750001
Greenland,T,High,High,Medium,Low,High,0.6838616548750001
Greenland,T,High,High,Medium,Low,High,0.6838616548750001
Greenland,T,High,High,Medium,Low,High,0.6838616548750001
Farmland,T,High,High,Medium,Low,High,0.6838616548750001
Greenland,T,High,High,Medium,Low,High,0.6838616548750001
Greenland,T,High,High,Medium,Low,High,0.6838616548750001
Greenland,T,High,High,Medium,Low,High,0.6838616548750001
Greenland,T,High,High,Medium,Low,High,0.6838616548750001
Greenland,T,High,High,Medium,Low,High,0.6838616548750001
Greenland,T,High,High,Medium,Low,High,0.6838616548750001
Greenland,T,High,High,Medium,Low,High,0.6838616548750001
Greenland,T,High,High,Medium,Low,High,0.6838616548750001
Greenland,T,High,High,Medium,Low,High,0.6838616548750001
Greenland,T,High,High,Medium,Low,High,0.6838616548750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Farmland,LT,High,High,Medium,Low,High,0.6802183243750001
Greenland,L,Low,High,Medium,Low,Medium,0.67902126203125
Farmland,L,High,High,Medium,Low,High,0.6752846476562501
Farmland,L,High,High,Medium,Low,High,0.6752846476562501
Farmland,L,High,High,Medium,Low,High,0.6752846476562501
Farmland,L,High,High,Medium,Low,High,0.6752846476562501
Farmland,L,High,High,Medium,Low,High,0.6752846476562501
Greenland,T,Medium,High,Medium,Low,High,0.67468051875
Greenland,T,Medium,High,Medium,Low,High,0.67468051875
Greenland,T,Medium,High,Medium,Low,High,0.67468051875
Greenland,T,Medium,High,Medium,Low,High,0.67468051875
Greenland,T,Medium,High,Medium,Low,High,0.67468051875
Farmland,LT,Medium,High,Medium,Low,High,0.67099509375
Farmland,LT,Medium,High,Medium,Low,High,0.67099509375
Farmland,LT,Medium,High,Medium,Low,High,0.67099509375
Greenland,L,High,High,Medium,Low,High,0.6703509709375001
Greenland,L,High,High,Medium,Low,High,0.6703509709375001
Greenland,L,High,High,Medium,Low,High,0.6703509709375001
Greenland,L,High,High,Medium,Low,High,0.6703509709375001
Greenland,L,High,High,Medium,Low,High,0.6703509709375001
Greenland,L,High,High,Medium,Low,High,0.6703509709375001
Greenland,L,High,High,Medium,Low,High,0.6703509709375001
Greenland,L,High,High,Medium,Low,High,0.6703509709375001
Greenland,L,High,High,Medium,Low,High,0.6703509709375001
Farmland,sL,High,High,Medium,Low,High,0.6657968078125001
Farmland,sL,High,High,Medium,Low,High,0.6657968078125001
Farmland,sL,High,High,Medium,Low,High,0.6657968078125001
Farmland,sL,High,High,Medium,Low,High,0.6657968078125001
Farmland,sL,High,High,Medium,Low,High,0.6657968078125001
Farmland,sL,High,High,Medium,Low,High,0.6657968078125001
Farmland,sL,High,High,Medium,Low,High,0.6657968078125001
Farmland,sL,High,High,Medium,Low,High,0.6657968078125001
Farmland,sL,High,High,Medium,Low,High,0.6657968078125001
Farmland,sL,High,High,Medium,Low,High,0.6657968078125001
Farmland,sL,High,High,Medium,Low,High,0.6657968078125001
Farmland,sL,High,High,Medium,Low,High,0.6657968078125001
Farmland,sL,High,High,Medium,Low,High,0.6657968078125001
Farmland,sL,High,High,Medium,Low,High,0.6657968078125001
Farmland,sL,High,High,Medium,Low,High,0.6657968078125001
Farmland,sL,High,High,Medium,Low,High,0.6657968078125001
Greenland,L,Medium,High,Medium,Low,High,0.661013734375
Greenland,L,Medium,High,Medium,Low,High,0.661013734375
Greenland,L,Medium,High,Medium,Low,High,0.661013734375
Greenland,LT,High,High,Medium,Low,High,0.6604836175000001
Greenland,LT,High,High,Medium,Low,High,0.6604836175000001
Greenland,Unknown,High,High,Medium,Low,High,0.6604836175000001
Greenland,T,High,High,Medium,Low,Medium,0.655006655625
Greenland,T,High,Medium,High,Low,High,0.6290326375312499
Greenland,T,High,Medium,High,Low,High,0.6290326375312499
Farmland,T,High,Medium,High,Low,High,0.6290326375312499
Greenland,T,High,Medium,High,Low,High,0.6290326375312499
Farmland,T,High,Medium,High,Low,High,0.6290326375312499
Greenland,T,High,Medium,High,Low,High,0.6290326375312499
Greenland,T,High,Low,High,Low,Medium,0.62611028415625
Greenland,T,High,Low,High,Low,Medium,0.62611028415625
Greenland,T,High,Low,High,Low,Medium,0.62611028415625
Farmland,L,High,Medium,High,Low,High,0.62437130453125
Farmland,L,High,Medium,High,Low,High,0.62437130453125
Farmland,L,High,Medium,High,Low,High,0.62437130453125
Farmland,L,High,Medium,High,Low,High,0.62437130453125
Greenland,T,High,High,Medium,Low,Low,0.6206429747
Greenland,T,High,High,Medium,Low,Low,0.6206429747
Greenland,T,High,High,Medium,Low,Low,0.6206429747
Greenland,T,High,High,Medium,Low,Low,0.6206429747
Greenland,T,Low,High,High,Medium,High,0.6157831525
Greenland,T,Low,High,High,Medium,High,0.6157831525
Greenland,T,Low,High,High,Medium,High,0.6157831525
