actualValue,flaeche_ha,oid,flood_risk_probability
"1",0.3764,DEBWL0010004I7WPFL,0.752626891666667
"1",0.2454,DEBWL0010004I6ZaFL,0.75886548625
"1",0.2454,DEBWL0010004I6ZcFL,0.75886548625
"1",0.0642,DEBWL0010004I7vLFL,0.75979465121875
"1",0.1906,DEBWL0010004I74XFL,0.716263256875
"1",0.1906,DEBWL0010004I75dFL,0.753967956875
"1",0.6643,DEBWL0010004I6YxFL,0.760499986625
"1",0.6643,DEBWL0010004I6YzFL,0.760499986625
"1",0.1703,DEBWL001000haau5FL,0.760499986625
"1",0.1703,DEBWL0010004I6WOFL,0.7362095375
"1",0.9906,DEBWL0010004I82zFL,0.6898151019
"1",0.9906,DEBWL0010004I82BFL,0.7425369805625
"1",0.9906,DEBWL0010004I75BFL,0.760499986625
"1",0.9906,DEBWL0010004I74kFL,0.7425369805625
"1",0.9906,DEBWL0010004I74GFL,0.7425369805625
"1",0.9906,DEBWL0010004I74JFL,0.760499986625
"1",0.9906,DEBWL0010004I75zFL,0.760499986625
"1",0.7494,DEBWL0010004I87VFL,0.7556530091875
"1",0.7494,DEBWL0010004I7ugFL,0.7556530091875
"1",0.7494,DEBWL0010004I7ujFL,0.738912360275
"1",0.7494,DEBWL0010004I7ucFL,0.714351231666667
"1",0.7494,DEBWL0010004I7uJFL,0.74720514375
"1",0.7494,DEBWL0010004I7uLFL,0.731048583333333
"1",0.7494,DEBWL0010004I7u9FL,0.731048583333333
"1",0.7494,DEBWL0010004I7uGFL,0.730119068
"1",0.7494,DEBWL0010004I7vrFL,0.7556530091875
"1",0.7494,DEBWL0010004I7u2FL,0.714351231666667
"1",0.7494,DEBWL0010004I7tqFL,0.755159186875
"1",0.7494,DEBWL0010004I7tZFL,0.7556530091875
"1",0.7494,DEBWL0010004I7tIFL,0.74720514375
"1",0.7494,DEBWL0010004I7tPFL,0.74720514375
"1",0.7494,DEBWL0010004I7tFFL,0.74720514375
"1",1.3143,DEBWL0010004I6XVFL,0.718853275
"1",1.3143,DEBWL0010004I6XMFL,0.7614708005
"1",1.3143,DEBWL0010004I6XPFL,0.7362095375
"1",1.3143,DEBWL0010004I6XFFL,0.7614708005
"1",1.3143,DEBWL0010004I7WCFL,0.718853275
"1",1.3143,DEBWL0010004I7WHFL,0.718853275
"1",1.3143,DEBWL0010004I6XJFL,0.718853275
"1",1.3143,DEBWL0010004I6XCFL,0.718853275
"1",1.3143,DEBWL0010004I6XyFL,0.718853275
"1",1.3143,DEBWL0010004I74MFL,0.7532180885
"1",1.3143,DEBWL0010004I6YdFL,0.718853275
"1",0.3379,DEBWL0010004I84EFL,0.77749168725
"1",0.3379,DEBWL0010004I84KFL,0.77749168725
"1",0.3379,DEBWL0010004I7eEFL,0.77749168725
"1",0.3379,DEBWL0010004I7fjFL,0.77749168725
"1",0.8278,DEBWL0010004I6QiFL,0.760499986625
"1",0.8278,DEBWL0010004I6QlFL,0.760499986625
"1",0.8278,DEBWL0010004I6WMFL,0.7362095375
"1",0.2194,DEBWL0010004I7WMFL,0.77749168725
"1",0.2194,DEBWL0010004I6YFFL,0.77749168725
"1",1.9631,DEBWL0010004I6XFFL,0.7614708005
"1",1.9631,DEBWL0010004I6YbFL,0.714351231666667
"1",1.9631,DEBWL0010004I6XiFL,0.73787685465
"1",1.9631,DEBWL0010004I6X6FL,0.73787685465
"1",1.9631,DEBWL0010004I7vCFL,0.7725639692875
"1",1.9631,DEBWL0010004I7ukFL,0.7725639692875
"1",1.9631,DEBWL0010004I74iFL,0.6898151019
"1",1.9631,DEBWL0010004I74bFL,0.7831232169125
"1",1.9631,DEBWL0010004I74OFL,0.7614708005
"1",1.9631,DEBWL0010004I74TFL,0.7614708005
"1",1.9631,DEBWL0010004I74FFL,0.7291741
"1",1.9631,DEBWL0010004I74IFL,0.7291741
"1",1.9631,DEBWL0010004I74MFL,0.7532180885
"1",1.9631,DEBWL0010004I7vGFL,0.7725639692875
"1",1.9631,DEBWL0010004I7vIFL,0.7831232169125
"1",1.9631,DEBWL0010004I74CFL,0.7322702225
"1",1.9631,DEBWL0010004I6YfFL,0.7532180885
"1",1.9631,DEBWL0010004I88bFL,0.7831232169125
"1",1.9631,DEBWL0010004I74VFL,0.7725639692875
"1",0.837,DEBWL0010004I6YJFL,0.752626891666667
"1",0.3172,DEBWL0010004I75EFL,0.760499986625
"1",0.3172,DEBWL0010004I751FL,0.760499986625
"1",2.5262,DEBWL0010004I84HFL,0.755159186875
"1",2.5262,DEBWL0010004I84FFL,0.755159186875
"1",2.5262,DEBWL0010004I84IFL,0.6898151019
"1",2.5262,DEBWL0010004I74qFL,0.755159186875
"1",2.5262,DEBWL0010004I7vOFL,0.76370384256875
"1",2.5262,DEBWL0010004I7faFL,0.755159186875
"1",2.5262,DEBWL0010004I7fdFL,0.755159186875
"1",2.5262,DEBWL0010004I7fcFL,0.731048583333333
"1",2.5262,DEBWL0010004I7f6FL,0.755159186875
"1",2.5262,DEBWL0010004I7f5FL,0.755159186875
"1",2.5262,DEBWL0010004I7f9FL,0.755159186875
"1",2.5262,DEBWL0010004I7f7FL,0.7425369805625
"1",2.5262,DEBWL0010004I7f0FL,0.752626891666667
"1",2.5262,DEBWL0010004I7f2FL,0.7362095375
"1",2.5262,DEBWL0010004I7f1FL,0.755159186875
"1",2.5262,DEBWL0010004I7eZFL,0.755159186875
"1",2.5262,DEBWL0010004I7eXFL,0.755159186875
"1",2.5262,DEBWL0010004I7eMFL,0.755159186875
"1",2.5262,DEBWL0010004I7ePFL,0.755159186875
"1",2.5262,DEBWL0010004I7eRFL,0.755159186875
"1",2.5262,DEBWL0010004I7eUFL,0.755159186875
"1",2.5262,DEBWL0010004I7ffFL,0.7371473625
"1",2.5262,DEBWL0010004I7fpFL,0.77749168725
"1",2.5262,DEBWL0010004I7qfFL,0.7614708005
"1",2.5262,DEBWL0010004I88aFL,0.747865583958333
"1",0.5096,DEBWL0010004I6ZmFL,0.77749168725
"1",0.5096,DEBWL0010004I6ZoFL,0.760499986625
"1",0.4302,DEBWL0010004I6ZgFL,0.75886548625
"1",0.4302,DEBWL0010004I6ZZFL,0.75886548625
